iter	Logloss
0	0.6791361937
1	0.6644259243
2	0.6518303816
3	0.6392396941
4	0.6278169478
5	0.6173550677
6	0.6080942916
7	0.5984150574
8	0.5895982881
9	0.5817695754
10	0.5734567575
11	0.5664547784
12	0.5596289801
13	0.5534353472
14	0.5471562789
15	0.5416060532
16	0.5360526881
17	0.5307106585
18	0.5262139372
19	0.5215370737
20	0.5167244098
21	0.5124348129
22	0.5090611904
23	0.5045531448
24	0.5013021266
25	0.4970432616
26	0.4930835404
27	0.4898474261
28	0.4871561689
29	0.4835178403
30	0.4802315624
31	0.4773176678
32	0.4736094896
33	0.4710875753
34	0.4682060367
35	0.4657722176
36	0.462944053
37	0.4610404743
38	0.458805554
39	0.456463958
40	0.4546360799
41	0.4526270465
42	0.4506288979
43	0.4492304375
44	0.4476056911
45	0.4454946757
46	0.4437933841
47	0.4423487549
48	0.440802113
49	0.4387924944
50	0.4370993002
51	0.4352284603
52	0.4333730218
53	0.431131179
54	0.4294857014
55	0.4280341298
56	0.4263917972
57	0.4249185378
58	0.4230481871
59	0.4215652442
60	0.4206097081
61	0.4193795367
62	0.4183262934
63	0.4169176449
64	0.4159618291
65	0.4148227409
66	0.4133175642
67	0.4123174514
68	0.4111657518
69	0.409971802
70	0.4086728007
71	0.4078196326
72	0.4065848405
73	0.405360593
74	0.4043023066
75	0.4032316018
76	0.4024157465
77	0.4012251361
78	0.4003151444
79	0.3992588388
80	0.3986258573
81	0.3978127057
82	0.3970006831
83	0.395930468
84	0.3949974683
85	0.3941731188
86	0.3932337226
87	0.3921443854
88	0.3910376224
89	0.3904476639
90	0.3894818607
91	0.3888655216
92	0.3881801521
93	0.3873970089
94	0.3866397052
95	0.3860008937
96	0.3854133511
97	0.3848116193
98	0.3842437206
99	0.3836038583
100	0.382869148
101	0.3821121575
102	0.381457738
103	0.3808660962
104	0.3801884376
105	0.379513585
106	0.3788449335
107	0.378380349
108	0.377699369
109	0.3769209393
110	0.3763134744
111	0.3758278622
112	0.3751070273
113	0.3743882316
114	0.3739064949
115	0.3732511112
116	0.3726654242
117	0.3720210276
118	0.3713097679
119	0.3706599848
120	0.3701836448
121	0.3694218938
122	0.3687323015
123	0.3683484048
124	0.3677409344
125	0.3672413701
126	0.3664540664
127	0.3659401332
128	0.3655779367
129	0.3649672684
130	0.3645457169
131	0.3642070328
132	0.3636435425
133	0.3631068643
134	0.3627399726
135	0.3623100326
136	0.3619214438
137	0.3615148876
138	0.3610602369
139	0.3604672321
140	0.3601298955
141	0.3595016685
142	0.3592085478
143	0.3587850257
144	0.3584004878
145	0.3580960109
146	0.3575780444
