iter	Passed	Remaining
0	162	78638
1	184	44697
2	210	33922
3	233	28159
4	258	24820
5	280	22429
6	310	21269
7	344	20579
8	393	20856
9	422	20098
10	447	19317
11	473	18684
12	508	18503
13	535	18063
14	566	17793
15	596	17513
16	626	17291
17	651	16939
18	675	16600
19	698	16270
20	725	16064
21	750	15829
22	774	15600
23	799	15389
24	826	15241
25	853	15103
26	881	14980
27	904	14798
28	935	14748
29	959	14584
30	985	14468
31	1008	14312
32	1035	14211
33	1061	14118
34	1085	13984
35	1107	13847
36	1137	13805
37	1161	13689
38	1185	13586
39	1214	13539
40	1236	13422
41	1260	13320
42	1283	13220
43	1310	13168
44	1333	13064
45	1360	13018
46	1384	12928
47	1406	12835
48	1430	12758
49	1452	12666
50	1476	12591
51	1499	12516
52	1557	12721
53	1589	12715
54	1615	12659
55	1638	12584
56	1667	12547
57	1698	12532
58	1729	12518
59	1759	12494
60	1786	12446
61	1813	12400
62	1837	12339
63	1864	12295
64	1892	12255
65	1922	12232
66	1956	12234
67	1984	12196
68	2010	12149
69	2039	12121
70	2063	12058
71	2088	12010
72	2112	11952
73	2137	11899
74	2161	11843
75	2187	11800
76	2214	11760
77	2240	11720
78	2263	11663
79	2288	11614
80	2317	11585
81	2341	11538
82	2367	11494
83	2391	11445
84	2419	11412
85	2440	11351
86	2464	11303
87	2486	11244
88	2508	11188
89	2530	11132
90	2554	11088
91	2579	11045
92	2601	10991
93	2622	10936
94	2645	10889
95	2670	10847
96	2694	10805
97	2719	10766
98	2741	10716
99	2768	10686
100	2802	10682
101	2833	10665
102	2855	10618
103	2879	10576
104	2903	10534
105	2928	10497
106	2950	10449
107	2974	10410
108	2999	10375
109	3023	10335
110	3044	10285
111	3067	10243
112	3088	10195
113	3114	10163
114	3138	10125
115	3162	10086
116	3186	10049
117	3210	10012
118	3232	9970
119	3259	9940
120	3282	9902
121	3305	9863
122	3330	9829
123	3353	9788
124	3378	9756
125	3402	9720
126	3429	9693
127	3451	9654
128	3475	9618
129	3497	9578
130	3520	9541
131	3546	9509
132	3570	9476
133	3594	9441
134	3618	9407
135	3641	9371
136	3665	9336
137	3691	9310
138	3716	9277
139	3738	9239
140	3760	9200
141	3783	9165
142	3809	9137
143	3832	9101
144	3858	9074
145	3880	9036
146	3904	9004
147	3930	8975
148	3953	8942
149	3980	8916
150	4009	8894
151	4040	8878
152	4063	8844
153	4091	8821
154	4122	8804
155	4151	8782
156	4176	8751
157	4203	8726
158	4231	8701
159	4257	8673
160	4283	8647
161	4311	8622
162	4345	8610
163	4377	8594
164	4410	8580
165	4438	8556
166	4469	8537
167	4499	8516
168	4528	8494
169	4556	8469
170	4590	8455
171	4622	8438
172	4653	8419
173	4683	8397
174	4710	8370
175	4741	8350
176	4775	8336
177	4804	8313
178	4835	8293
179	4868	8276
180	4900	8258
181	4930	8235
182	4958	8209
183	4988	8187
184	5018	8164
185	5046	8139
186	5078	8119
187	5111	8102
188	5139	8076
189	5171	8056
190	5200	8031
191	5230	8009
192	5255	7979
193	5284	7953
194	5313	7929
195	5347	7912
196	5378	7890
197	5411	7871
198	5442	7848
199	5469	7821
200	5497	7795
201	5526	7769
202	5555	7745
203	5584	7720
204	5614	7696
205	5645	7672
206	5674	7648
207	5699	7618
208	5727	7590
209	5757	7566
210	5788	7543
211	5820	7522
212	5846	7492
213	5872	7463
214	5896	7432
215	5926	7407
216	5952	7378
217	5976	7347
218	6003	7318
219	6028	7288
220	6054	7259
221	6082	7233
222	6106	7201
223	6128	7168
224	6159	7144
225	6191	7122
226	6222	7099
227	6248	7070
228	6275	7042
229	6301	7013
230	6327	6985
231	6354	6956
232	6380	6927
233	6404	6896
234	6430	6868
235	6456	6839
236	6480	6809
237	6507	6780
238	6534	6752
239	6560	6724
240	6590	6699
241	6617	6672
242	6643	6643
243	6671	6617
244	6700	6591
245	6727	6562
246	6752	6533
247	6778	6505
248	6803	6475
249	6828	6446
250	6851	6414
251	6880	6389
252	6904	6358
253	6928	6328
254	6954	6299
255	6994	6284
256	7057	6288
257	7104	6278
258	7146	6263
259	7176	6237
260	7207	6212
261	7237	6187
262	7269	6163
263	7303	6141
264	7334	6116
265	7369	6094
266	7400	6069
267	7430	6044
268	7461	6019
269	7490	5992
270	7517	5964
271	7545	5936
272	7575	5910
273	7604	5884
274	7634	5857
275	7662	5830
276	7690	5802
277	7720	5776
278	7752	5752
279	7786	5728
280	7814	5700
281	7845	5675
282	7876	5650
283	7909	5625
284	7937	5598
285	7963	5568
286	7992	5541
287	8021	5514
288	8047	5485
289	8078	5459
290	8104	5430
291	8131	5402
292	8159	5374
293	8184	5345
294	8213	5317
295	8238	5288
296	8263	5258
297	8291	5230
298	8320	5203
299	8351	5177
300	8382	5152
301	8413	5126
302	8444	5100
303	8480	5077
304	8509	5049
305	8538	5022
306	8569	4996
307	8598	4969
308	8626	4941
309	8656	4914
310	8687	4888
311	8719	4862
312	8750	4836
313	8785	4812
314	8818	4787
315	8853	4762
316	8881	4734
317	8910	4707
318	8939	4680
319	8967	4651
320	8993	4623
321	9020	4594
322	9048	4566
323	9075	4537
324	9103	4509
325	9130	4481
326	9159	4453
327	9185	4424
328	9215	4397
329	9245	4370
330	9272	4342
331	9300	4313
332	9328	4286
333	9357	4258
334	9385	4230
335	9411	4201
336	9436	4172
337	9463	4143
338	9493	4116
339	9523	4089
340	9555	4063
341	9583	4035
342	9614	4008
343	9644	3981
344	9678	3955
345	9708	3928
346	9741	3902
347	9771	3874
348	9800	3847
349	9829	3819
350	9859	3792
351	9891	3765
352	9922	3738
353	9967	3716
354	9996	3689
