iter	Passed	Remaining
0	222	108070
1	273	66107
2	318	51287
3	359	43274
4	394	37908
5	431	34553
6	469	32125
7	505	30176
8	540	28652
9	575	27383
10	610	26374
11	646	25524
12	681	24785
13	715	24123
14	751	23596
15	785	23070
16	825	22785
17	867	22560
18	909	22355
19	945	22026
20	983	21781
21	1023	21583
22	1066	21461
23	1105	21282
24	1140	21029
25	1181	20899
26	1223	20798
27	1263	20660
28	1307	20602
29	1347	20488
30	1382	20298
31	1422	20180
32	1461	20057
33	1498	19915
34	1537	19807
35	1573	19670
36	1609	19530
37	1648	19436
38	1690	19377
39	1727	19264
40	1768	19192
41	1807	19107
42	1849	19049
43	1892	19010
44	1932	18936
45	1970	18845
46	2010	18778
47	2050	18711
48	2088	18624
49	2122	18505
50	2161	18432
51	2200	18365
52	2237	18281
53	2274	18199
54	2310	18102
55	2346	18016
56	2383	17938
57	2424	17893
58	2463	17826
59	2503	17773
60	2541	17705
61	2580	17647
62	2625	17626
63	2667	17586
64	2712	17565
65	2749	17495
66	2785	17418
67	2828	17385
68	2867	17331
69	2907	17276
70	2947	17227
71	2982	17150
72	3020	17090
73	3058	17028
74	3093	16951
75	3130	16886
76	3166	16822
77	3208	16785
78	3248	16735
79	3286	16678
80	3326	16630
81	3363	16573
82	3403	16523
83	3443	16481
84	3480	16420
85	3517	16359
86	3551	16286
87	3587	16226
88	3624	16165
89	3664	16124
90	3704	16081
91	3744	16035
92	3782	15984
93	3821	15935
94	3858	15880
95	3897	15835
96	3933	15775
97	3970	15721
98	4009	15674
99	4048	15628
100	4084	15571
101	4139	15585
102	4190	15580
103	4230	15537
104	4269	15492
105	4307	15443
106	4347	15397
107	4385	15350
108	4421	15294
109	4464	15261
110	4502	15209
111	4537	15151
112	4572	15094
113	4611	15048
114	4644	14984
115	4684	14940
116	4721	14889
117	4757	14836
118	4793	14782
119	4830	14733
120	4870	14690
121	4904	14633
122	4942	14586
123	4978	14534
124	5014	14482
125	5048	14423
126	5083	14368
127	5119	14317
128	5155	14267
129	5191	14215
130	5229	14171
131	5268	14129
132	5305	14081
133	5342	14033
134	5376	13979
135	5412	13928
136	5452	13889
137	5494	13854
138	5532	13810
139	5571	13769
140	5608	13723
141	5648	13683
142	5682	13631
143	5719	13584
144	5757	13540
145	5798	13502
146	5836	13459
147	5875	13417
148	5911	13369
149	5945	13317
150	5982	13272
151	6015	13218
152	6054	13177
153	6090	13131
154	6129	13088
155	6161	13034
156	6196	12984
157	6233	12941
158	6268	12892
159	6305	12846
160	6340	12799
161	6378	12756
162	6424	12730
163	6464	12692
164	6504	12654
165	6541	12609
166	6575	12559
167	6614	12520
168	6648	12470
169	6684	12426
170	6717	12375
171	6753	12329
172	6788	12282
173	6823	12235
174	6862	12195
175	6906	12164
176	6943	12121
177	6985	12086
178	7026	12050
179	7065	12011
180	7103	11969
181	7142	11931
182	7180	11889
183	7218	11847
184	7256	11806
185	7296	11768
186	7337	11732
187	7375	11690
188	7411	11646
189	7451	11608
190	7490	11568
191	7532	11534
192	7573	11498
193	7618	11466
194	7658	11428
195	7700	11393
196	7739	11354
197	7777	11312
198	7814	11270
199	7851	11226
200	7891	11188
201	7927	11145
202	7964	11103
203	8003	11063
204	8040	11021
205	8077	10978
206	8117	10940
207	8153	10897
208	8191	10856
209	8232	10819
210	8269	10778
211	8306	10735
212	8342	10692
213	8376	10646
214	8410	10601
215	8447	10559
216	8487	10521
217	8524	10479
218	8562	10439
219	8600	10398
220	8638	10357
221	8674	10315
222	8711	10273
223	8745	10229
224	8783	10189
225	8821	10149
226	8855	10104
227	8891	10061
228	8929	10021
229	8962	9975
230	8997	9932
231	9034	9890
232	9067	9846
233	9103	9804
234	9138	9760
235	9175	9720
236	9211	9678
237	9249	9638
238	9284	9595
239	9321	9554
240	9358	9513
241	9393	9470
242	9428	9428
243	9467	9389
244	9503	9347
245	9541	9308
246	9580	9270
247	9619	9231
248	9658	9193
249	9693	9151
250	9729	9109
251	9763	9066
252	9799	9024
253	9834	8983
254	9873	8944
255	9914	8907
256	9949	8865
257	9986	8825
258	10020	8782
259	10055	8740
260	10093	8701
261	10128	8659
262	10163	8617
263	10199	8576
264	10234	8535
265	10271	8495
266	10309	8456
267	10343	8413
268	10377	8371
269	10411	8329
270	10446	8287
271	10482	8247
272	10524	8211
273	10563	8172
274	10598	8132
275	10637	8093
276	10674	8053
277	10710	8013
278	10748	7974
279	10788	7937
280	10825	7897
281	10858	7855
282	10893	7814
283	10932	7776
284	10968	7735
285	11004	7695
286	11042	7656
287	11078	7616
288	11117	7578
289	11156	7540
290	11199	7504
291	11240	7467
292	11276	7428
293	11314	7389
294	11353	7350
295	11394	7313
296	11434	7276
297	11472	7237
298	11506	7196
299	11542	7156
300	11578	7116
301	11615	7077
302	11653	7038
303	11692	7000
304	11729	6960
305	11764	6920
306	11799	6879
307	11836	6840
308	11874	6801
309	11911	6762
310	11950	6724
311	11987	6685
312	12024	6646
313	12062	6607
314	12099	6568
315	12136	6529
316	12173	6490
317	12209	6450
318	12246	6411
319	12285	6373
320	12321	6333
321	12356	6293
322	12394	6254
323	12429	6214
324	12464	6174
325	12501	6135
326	12539	6097
327	12575	6057
328	12609	6017
329	12646	5978
330	12679	5937
331	12714	5897
332	12749	5858
333	12785	5818
334	12822	5779
335	12857	5739
336	12890	5699
337	12933	5663
338	12974	5625
339	13010	5586
340	13046	5547
341	13084	5509
342	13120	5470
343	13158	5431
344	13196	5393
345	13236	5355
346	13275	5317
347	13314	5279
348	13347	5239
349	13384	5200
350	13422	5162
351	13457	5123
352	13494	5084
353	13530	5045
354	13566	5006
355	13603	4967
356	13639	4928
357	13675	4889
358	13711	4850
359	13746	4811
360	13783	4772
361	13819	4733
362	13855	4694
363	13890	4655
364	13928	4617
365	13965	4578
366	14001	4540
367	14037	4501
368	14072	4461
369	14108	4423
370	14142	4383
371	14176	4344
372	14220	4308
373	14270	4273
374	14317	4237
375	14364	4202
376	14414	4167
377	14456	4130
378	14500	4093
379	14544	4057
380	14587	4020
381	14631	3983
382	14672	3945
383	14714	3908
384	14753	3870
385	14794	3832
386	14834	3794
387	14877	3757
388	14920	3720
389	14959	3682
390	14997	3643
391	15042	3607
392	15082	3569
393	15124	3531
394	15166	3494
395	15205	3455
396	15245	3417
397	15288	3380
398	15328	3342
399	15369	3304
400	15407	3265
401	15449	3228
402	15489	3190
403	15528	3151
404	15595	3119
405	15642	3082
406	15685	3044
407	15723	3006
408	15763	2967
409	15803	2929
410	15843	2891
411	15886	2853
412	15927	2815
413	15973	2777
414	16018	2740
415	16059	2702
416	16099	2663
417	16140	2625
418	16181	2587
419	16222	2549
420	16261	2510
421	16302	2472
422	16341	2433
423	16380	2395
424	16420	2356
425	16463	2318
426	16503	2280
427	16543	2241
428	16583	2203
429	16625	2165
430	16668	2127
431	16707	2088
432	16748	2049
433	16787	2011
434	16825	1972
435	16863	1933
436	16905	1895
437	16946	1857
438	16985	1818
439	17023	1779
440	17060	1740
441	17098	1702
442	17140	1663
443	17179	1625
444	17222	1586
445	17262	1548
446	17305	1509
447	17346	1471
448	17387	1432
449	17425	1394
450	17465	1355
451	17507	1316
452	17547	1278
453	17588	1239
454	17627	1200
455	17667	1162
456	17705	1123
457	17744	1084
458	17785	1046
459	17821	1007
460	17860	968
461	17903	930
462	17941	891
463	17980	852
464	18018	813
465	18057	775
466	18095	736
467	18134	697
468	18172	658
469	18208	619
470	18248	581
471	18290	542
472	18328	503
473	18368	465
474	18404	426
475	18444	387
476	18483	348
477	18521	309
478	18565	271
479	18607	232
480	18649	193
481	18687	155
482	18728	116
483	18768	77
484	18808	38
485	18848	0
